Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,5s,N/A,N/A,25.00,"19,000",Put,"129,555s",N/A,N/A,"647,775.00"
Call,5s,N/A,N/A,25.00,"19,250",Put,"132,050s",N/A,N/A,"660,250.00"
Call,4s,N/A,N/A,20.00,"19,500",Put,"134,540s",N/A,N/A,"672,700.00"
Call,4s,N/A,N/A,20.00,"19,750",Put,"137,030s",N/A,N/A,"685,150.00"
Call,"32,405s",N/A,N/A,"162,025.00","27,500",Put,25s,N/A,12,125.00
Call,"29,925s",N/A,N/A,"149,625.00","30,000",Put,35s,N/A,N/A,175.00
Call,"27,455s",N/A,N/A,"137,275.00","32,500",Put,60s,N/A,1,300.00
Call,"24,995s",N/A,N/A,"124,975.00","35,000",Put,85s,N/A,N/A,425.00
Call,"22,545s",N/A,N/A,"112,725.00","37,500",Put,130s,N/A,N/A,650.00
Call,"20,110s",N/A,N/A,"100,550.00","40,000",Put,185s,N/A,N/A,925.00
Call,"17,690s",N/A,N/A,"88,450.00","42,500",Put,260s,N/A,N/A,"1,300.00"
Call,"15,305s",N/A,N/A,"76,525.00","45,000",Put,360s,N/A,2,"1,800.00"
Call,"12,955s",N/A,N/A,"64,775.00","47,500",Put,570s,5,57,"2,850.00"
Call,"12,495s",N/A,N/A,"62,475.00","48,000",Put,540s,N/A,N/A,"2,700.00"
Call,"12,035s",N/A,N/A,"60,175.00","48,500",Put,620s,5,5,"3,100.00"
Call,"11,575s",N/A,N/A,"57,875.00","49,000",Put,620s,N/A,N/A,"3,100.00"
Call,"11,125s",N/A,N/A,"55,625.00","49,500",Put,665s,N/A,N/A,"3,325.00"
Call,"10,675s",N/A,N/A,"53,375.00","50,000",Put,665,24,N/A,"3,325.00"
Call,"10,230s",N/A,N/A,"51,150.00","50,500",Put,770s,N/A,N/A,"3,850.00"
Call,"9,790s",N/A,N/A,"48,950.00","51,000",Put,825s,N/A,5,"4,125.00"
Call,"9,355s",N/A,N/A,"46,775.00","51,500",Put,890s,N/A,1,"4,450.00"
Call,"8,925s",N/A,N/A,"44,625.00","52,000",Put,920s,7,20,"4,600.00"
Call,"8,500s",N/A,N/A,"42,500.00","52,500",Put,"1,030s",N/A,N/A,"5,150.00"
Call,"8,085s",N/A,N/A,"40,425.00","53,000",Put,"1,115s",N/A,N/A,"5,575.00"
Call,"7,675s",N/A,N/A,"38,375.00","53,500",Put,"1,200s",N/A,N/A,"6,000.00"
Call,"7,270s",N/A,N/A,"36,350.00","54,000",Put,"1,350s",2,2,"6,750.00"
Call,"6,880s",N/A,N/A,"34,400.00","54,500",Put,"1,400s",N/A,23,"7,000.00"
Call,"6,490s",N/A,N/A,"32,450.00","55,000",Put,"1,515s",1,N/A,"7,575.00"
Call,"6,305s",N/A,N/A,"31,525.00","55,250",Put,"1,575s",N/A,N/A,"7,875.00"
Call,"6,115s",N/A,N/A,"30,575.00","55,500",Put,"1,635s",N/A,N/A,"8,175.00"
Call,"5,930s",N/A,N/A,"29,650.00","55,750",Put,"1,860s",2,5,"9,300.00"
Call,"5,750s",N/A,N/A,"28,750.00","56,000",Put,"1,950s",9,N/A,"9,750.00"
Call,"5,570s",N/A,N/A,"27,850.00","56,250",Put,"1,840s",1,2,"9,200.00"
Call,"5,395s",N/A,N/A,"26,975.00","56,500",Put,"1,910s",N/A,1,"9,550.00"
Call,"5,220s",N/A,N/A,"26,100.00","56,750",Put,"1,985s",N/A,N/A,"9,925.00"
Call,"5,050s",N/A,N/A,"25,250.00","57,000",Put,"2,200s",1,N/A,"11,000.00"
Call,"5,155s",2,1,"25,775.00","57,250",Put,"2,145s",N/A,N/A,"10,725.00"
Call,"4,060s",1,1,"20,300.00","57,500",Put,"2,230s",N/A,20,"11,150.00"
Call,"4,550s",N/A,N/A,"22,750.00","57,750",Put,"2,315s",N/A,N/A,"11,575.00"
Call,"4,390s",N/A,N/A,"21,950.00","58,000",Put,"3,000s",10,15,"15,000.00"
Call,"4,235s",N/A,N/A,"21,175.00","58,250",Put,"2,495s",N/A,N/A,"12,475.00"
Call,"4,080s",N/A,N/A,"20,400.00","58,500",Put,"2,590s",N/A,N/A,"12,950.00"
Call,"3,930s",N/A,5,"19,650.00","58,750",Put,"2,690s",N/A,N/A,"13,450.00"
Call,"3,780s",N/A,N/A,"18,900.00","59,000",Put,"2,790s",N/A,N/A,"13,950.00"
Call,"3,635s",N/A,N/A,"18,175.00","59,250",Put,"2,895s",N/A,N/A,"14,475.00"
Call,"3,495s",N/A,N/A,"17,475.00","59,500",Put,"3,000s",1,N/A,"15,000.00"
Call,"3,355s",N/A,N/A,"16,775.00","59,750",Put,"3,110s",N/A,N/A,"15,550.00"
Call,"3,500",1,1,"17,500.00","60,000",Put,"3,795s",2,24,"18,975.00"
Call,"3,090s",N/A,N/A,"15,450.00","60,250",Put,"3,340s",N/A,N/A,"16,700.00"
Call,"2,960s",N/A,1,"14,800.00","60,500",Put,"3,490s",5,5,"17,450.00"
Call,"2,830s",N/A,N/A,"14,150.00","60,750",Put,"3,585s",N/A,N/A,"17,925.00"
Call,"2,710s",N/A,N/A,"13,550.00","61,000",Put,"3,710s",N/A,N/A,"18,550.00"
Call,"2,590s",N/A,N/A,"12,950.00","61,250",Put,"3,840s",N/A,N/A,"19,200.00"
Call,"2,475s",N/A,N/A,"12,375.00","61,500",Put,"3,975s",N/A,N/A,"19,875.00"
Call,"2,360s",N/A,N/A,"11,800.00","61,750",Put,"4,110s",N/A,N/A,"20,550.00"
Call,"2,250s",N/A,2,"11,250.00","62,000",Put,"4,250s",N/A,5,"21,250.00"
Call,"2,145s",N/A,N/A,"10,725.00","62,250",Put,"4,395s",N/A,N/A,"21,975.00"
Call,"2,045s",N/A,N/A,"10,225.00","62,500",Put,"4,540s",N/A,2,"22,700.00"
Call,"1,945s",N/A,N/A,"9,725.00","62,750",Put,"5,605s",1,1,"28,025.00"
Call,"1,850s",N/A,N/A,"9,250.00","63,000",Put,"4,845s",N/A,2,"24,225.00"
Call,"1,760s",N/A,N/A,"8,800.00","63,250",Put,"5,005s",N/A,N/A,"25,025.00"
Call,"1,670s",N/A,N/A,"8,350.00","63,500",Put,"5,165s",N/A,9,"25,825.00"
Call,"1,585s",N/A,N/A,"7,925.00","63,750",Put,"5,330s",N/A,N/A,"26,650.00"
Call,"1,505s",N/A,N/A,"7,525.00","64,000",Put,"5,495s",N/A,N/A,"27,475.00"
Call,"1,430s",N/A,N/A,"7,150.00","64,250",Put,"5,670s",N/A,4,"28,350.00"
Call,"1,355s",N/A,3,"6,775.00","64,500",Put,"5,845s",N/A,N/A,"29,225.00"
Call,"1,285s",N/A,N/A,"6,425.00","64,750",Put,"6,020s",N/A,1,"30,100.00"
Call,"1,320s",3,5,"6,600.00","65,000",Put,"6,200s",N/A,N/A,"31,000.00"
Call,"1,150s",N/A,N/A,"5,750.00","65,250",Put,"6,385s",N/A,2,"31,925.00"
Call,"1,110s",2,2,"5,550.00","65,500",Put,"6,575s",N/A,N/A,"32,875.00"
Call,"1,030s",N/A,N/A,"5,150.00","65,750",Put,"6,765s",N/A,N/A,"33,825.00"
Call,975s,N/A,N/A,"4,875.00","66,000",Put,"6,955s",N/A,N/A,"34,775.00"
Call,920s,N/A,N/A,"4,600.00","66,250",Put,"7,155s",N/A,2,"35,775.00"
Call,870s,N/A,N/A,"4,350.00","66,500",Put,"7,350s",N/A,N/A,"36,750.00"
Call,820s,N/A,N/A,"4,100.00","66,750",Put,"7,555s",N/A,N/A,"37,775.00"
Call,775s,N/A,N/A,"3,875.00","67,000",Put,"7,755s",N/A,N/A,"38,775.00"
Call,730s,N/A,1,"3,650.00","67,250",Put,"7,960s",N/A,N/A,"39,800.00"
Call,670s,2,22,"3,350.00","67,500",Put,"8,170s",N/A,21,"40,850.00"
Call,655s,N/A,N/A,"3,275.00","67,750",Put,"8,380s",N/A,N/A,"41,900.00"
Call,615s,N/A,N/A,"3,075.00","68,000",Put,"8,595s",N/A,1,"42,975.00"
Call,580s,N/A,6,"2,900.00","68,250",Put,"8,810s",N/A,N/A,"44,050.00"
Call,550s,N/A,2,"2,750.00","68,500",Put,"9,025s",N/A,N/A,"45,125.00"
Call,520s,N/A,N/A,"2,600.00","68,750",Put,"9,245s",N/A,2,"46,225.00"
Call,490s,N/A,2,"2,450.00","69,000",Put,"9,465s",N/A,N/A,"47,325.00"
Call,465s,N/A,N/A,"2,325.00","69,250",Put,"9,685s",N/A,N/A,"48,425.00"
Call,440s,N/A,1,"2,200.00","69,500",Put,"9,910s",N/A,N/A,"49,550.00"
Call,415s,N/A,N/A,"2,075.00","69,750",Put,"10,135s",N/A,N/A,"50,675.00"
Call,390s,N/A,2,"1,950.00","70,000",Put,"10,360s",N/A,2,"51,800.00"
Call,370s,N/A,N/A,"1,850.00","70,250",Put,"10,590s",N/A,N/A,"52,950.00"
Call,350s,N/A,1,"1,750.00","70,500",Put,"10,820s",N/A,N/A,"54,100.00"
Call,330s,N/A,1,"1,650.00","70,750",Put,"11,050s",N/A,N/A,"55,250.00"
Call,315s,N/A,N/A,"1,575.00","71,000",Put,"11,280s",N/A,N/A,"56,400.00"
Call,300s,N/A,N/A,"1,500.00","71,250",Put,"11,515s",N/A,N/A,"57,575.00"
Call,285s,N/A,N/A,"1,425.00","71,500",Put,"11,750s",N/A,N/A,"58,750.00"
Call,270s,N/A,N/A,"1,350.00","71,750",Put,"11,985s",N/A,N/A,"59,925.00"
Call,255s,N/A,N/A,"1,275.00","72,000",Put,"12,220s",N/A,N/A,"61,100.00"
Call,245s,N/A,N/A,"1,225.00","72,250",Put,"12,455s",N/A,N/A,"62,275.00"
Call,230s,N/A,N/A,"1,150.00","72,500",Put,"12,695s",N/A,N/A,"63,475.00"
"Downloaded from Barchart.com as of 06-28-2026 10:16am CDT"
