Ticker,Name,AUM,Last Price,YTM,Div Yield (TTM),Volatility (1Y),1-Day %,Total Return (1M),Total Return (3M),Total Return (YTD),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),Effective Duration (Yrs),Effective Maturity (Yrs),Volatility (1M),Volatility (3M),Volatility (6M)
LQD,iShares iBoxx IG Corporate Bond ETF,32873.18,109.6250,0.0526,0.0453,5.36,0.0011,0.0078,0.0244,0.0101,0.0463,0.1568,-0.0072,0.2805,7.97,13.08,5.14,5.47,5.76
MUB,iShares Muni Bond ETF,45680.49,107.6450,0.0346,0.0316,2.93,0.0004,0.0093,0.0248,0.0157,0.0623,0.0997,0.0487,0.2081,6.25,12.34,2.31,2.86,3.27
MBB,iShares MBS ETF,39800.29,94.9580,0.0493,0.0424,4.47,0.0003,0.0102,0.0205,0.0148,0.0551,0.1406,0.0293,0.1451,5.46,6.76,4.51,4.75,4.77
HYG,iShares High Yield Bond ETF,17569.41,79.8950,0.0683,0.0590,3.93,0.0008,-0.0036,0.0226,0.0108,0.0486,0.2794,0.1913,0.6203,2.96,5.50,3.90,4.42,4.50
AGG,iShares Core U.S. Bond ETF,139355.81,99.3550,0.0467,0.0395,3.85,0.0002,0.0098,0.0184,0.0112,0.0431,0.1297,0.0122,0.1739,5.80,8.15,4.21,4.14,4.11
US10Y,United States Government Bond 10Y,,4.375,,,15.39,0.0009,-0.0153,-0.0142,0.0487,0.0210,0.1352,1.9561,1.9641,,,15.90,16.02,15.98
US5Y,United States 5Y Bond Yield,,4.143,,,18.61,0.0024,-0.0014,0.0149,0.1101,0.0789,0.0000,3.6498,3.0459,,,18.55,19.03,19.19
US30Y,United States 30Y Bond Yield,,4.855,,,12.26,-0.0023,-0.0231,-0.0235,0.0019,0.0046,0.2411,1.3152,1.1285,,,12.18,11.44,12.07
US2Y,United States 2Y Bond Yield,,4.113,,,18.69,0.0037,0.0257,0.0471,0.1809,0.0974,-0.1568,15.3214,5.5808,,,18.74,18.79,18.64
US10YT,United States 10Y TIPS Yield,,2.173,,,28.10,0.0065,0.0569,0.0216,0.1455,0.1070,0.3202,,22.8791,,,25.95,26.92,28.40
CWB,SPDR Convertible ETF,6109.20,105.5700,-0.1151,0.0140,15.46,0.0007,-0.0111,0.1574,0.1892,0.3052,0.6219,0.3378,2.2999,1.32,3.74,24.78,19.90,18.25
JAAA,Janus Detroit CLO ETF,28463.32,50.6650,0.0494,0.0499,0.87,-0.0001,0.0032,0.0137,0.0212,0.0500,0.2103,0.2650,,0.14,4.91,0.37,0.56,0.96
BKLN,Invesco Senior Loan ETF,7136.56,20.2850,0.0741,0.0661,3.04,-0.0007,-0.0046,0.0054,-0.0040,0.0368,0.2280,0.2800,0.5219,0.11,4.70,2.00,2.80,3.95